Price,Close,High,Low,Open,Volume,returns,return_squared,Regime_new,Regime_label
2014-09-22,8146.2998046875,8159.89990234375,8064.7998046875,8084.4501953125,105500,0.003055078754324302,9.333506195123729e-06,0,Bull
2014-09-23,8017.5498046875,8159.75,8008.10009765625,8144.39990234375,140800,-0.01593094790039912,0.00025379510100523116,2,HighVol
2014-09-24,8002.39990234375,8042.0498046875,7950.0498046875,8015.5498046875,182200,-0.0018913800776086584,3.577318597974935e-06,1,Bear
2014-09-25,7911.85009765625,8019.2998046875,7877.35009765625,8003.2998046875,231900,-0.011379836545715916,0.00012950067980721156,2,HighVol
2014-09-26,7968.85009765625,7993.2998046875,7841.7998046875,7885.85009765625,147800,0.007178555614569579,5.1531660711468425e-05,0,Bull
2014-09-29,7958.89990234375,7991.75,7934.7001953125,7978.4501953125,97300,-0.0012494164721180694,1.5610415207999625e-06,1,Bear
2014-09-30,7964.7998046875,8030.89990234375,7923.85009765625,7948.7998046875,141100,0.0007410215869771875,5.491129923661894e-07,1,Bear
2014-10-01,7945.5498046875,7977.5,7936.7001953125,7960.5,113000,-0.0024198097296141007,5.855479127535067e-06,1,Bear
2014-10-07,7852.39990234375,7943.0498046875,7842.7001953125,7897.39990234375,148200,-0.01179279382430551,0.0001390699861825782,2,HighVol
2014-10-08,7842.7001953125,7869.89990234375,7815.75,7828.75,135900,-0.001236017381957707,1.5277389685015842e-06,1,Bear
2014-10-09,7960.5498046875,7972.35009765625,7886.5,7886.5,123800,0.014914880678345798,0.00022245366564929283,2,HighVol
2014-10-10,7859.9501953125,7924.0498046875,7848.4501953125,7911.0,142900,-0.012717798464841716,0.0001617423977923303,2,HighVol
2014-10-13,7884.25,7901.14990234375,7796.0,7831.0,118800,0.0030868286329098203,9.52851100895191e-06,0,Bull
2014-10-14,7864.0,7928.0,7825.4501953125,7923.25,225500,-0.0025717157348472356,6.613721820860857e-06,1,Bear
2014-10-16,7748.2001953125,7893.89990234375,7729.64990234375,7837.2998046875,213500,-0.01483479931274002,0.00022007127064927178,2,HighVol
2014-10-17,7779.7001953125,7819.2001953125,7723.85009765625,7733.75,177600,0.004057218608794233,1.6461022839546213e-05,0,Bull
2014-10-20,7879.39990234375,7905.9501953125,7856.9501953125,7896.9501953125,176200,0.01273394430406019,0.00016215333753890699,2,HighVol
2014-10-21,7927.75,7936.60009765625,7874.35009765625,7906.14990234375,163400,0.006117516281268019,3.742400545157929e-05,0,Bull
2014-10-22,7995.89990234375,8005.0,7974.5498046875,7997.7998046875,151100,0.008559635367284744,7.326735762087183e-05,0,Bull
2014-10-27,7991.7001953125,8064.39990234375,7985.64990234375,8064.35009765625,132800,-0.0005253705499506886,2.7601421475548894e-07,1,Bear
2014-10-28,8027.60009765625,8037.7998046875,7995.0498046875,8002.39990234375,124100,0.004482088703870871,2.0089119149366863e-05,0,Bull
2014-10-29,8090.4501953125,8097.9501953125,8052.25,8077.0498046875,148300,0.007798761644535693,6.082068318828106e-05,0,Bull
2014-10-30,8169.2001953125,8181.5498046875,8085.2001953125,8085.2001953125,205700,0.009686630877276963,9.383081775261546e-05,0,Bull
2014-10-31,8322.2001953125,8330.75,8198.0498046875,8200.7998046875,176200,0.01855565765600878,0.0003443124310469973,2,HighVol
2014-11-03,8324.150390625,8350.599609375,8297.650390625,8348.150390625,141100,0.00023430905306898972,5.490073235008664e-08,1,Bear
2014-11-05,8338.2998046875,8365.5498046875,8323.5,8351.25,161600,0.0016983597607461473,2.8844258769217105e-06,0,Bull
2014-11-07,8337.0,8360.349609375,8290.25,8331.849609375,153400,-0.0001558958106129228,2.4303503766660298e-08,1,Bear
2014-11-10,8344.25,8383.0498046875,8304.4501953125,8337.7998046875,130700,0.0008692394702429653,7.555772566282709e-07,0,Bull
2014-11-11,8362.650390625,8378.7001953125,8321.849609375,8354.099609375,122000,0.0022027303251594033,4.852020885376851e-06,0,Bull
2014-11-12,8383.2998046875,8415.0498046875,8370.5,8378.900390625,125200,0.0024661992049072835,6.082138518285317e-06,0,Bull
2014-11-13,8357.849609375,8408.0,8320.349609375,8405.25,127400,-0.0030404381788521184,9.244264319421587e-06,1,Bear
2014-11-14,8389.900390625,8400.650390625,8346.7998046875,8360.7001953125,146800,0.00382747776597414,1.4649586049026395e-05,0,Bull
2014-11-17,8430.75,8438.099609375,8349.099609375,8378.400390625,113900,0.004857088011971049,2.3591303956032878e-05,0,Bull
2014-11-18,8425.900390625,8454.5,8407.25,8441.25,134700,-0.0005753942089820699,3.3107849573010197e-07,1,Bear
2014-11-19,8382.2998046875,8455.650390625,8360.5,8440.650390625,125400,-0.005188025276412326,2.691560626869319e-05,1,Bear
2014-11-20,8401.900390625,8410.849609375,8353.150390625,8406.5,122800,0.002335600698223698,5.455030621543025e-06,0,Bull
2014-11-21,8477.349609375,8489.7998046875,8398.599609375,8408.2001953125,137000,0.008939937646133834,7.992248511676096e-05,0,Bull
2014-11-24,8530.150390625,8534.650390625,8490.7998046875,8490.9501953125,140700,0.006209137249718906,3.855338538584686e-05,0,Bull
2014-11-25,8463.099609375,8535.349609375,8429.4501953125,8530.7998046875,271900,-0.007891501533809672,6.227579645812041e-05,1,Bear
2014-11-26,8475.75,8500.2998046875,8438.650390625,8450.2998046875,151900,0.0014936543234813655,2.2310032380545756e-06,0,Bull
2014-11-27,8494.2001953125,8506.75,8456.349609375,8477.7998046875,194300,0.002174455713767457,4.728257651135941e-06,0,Bull
2014-11-28,8588.25,8617.0,8516.25,8516.7998046875,197200,0.011011389339421218,0.00012125069518431926,0,Bull
2014-12-01,8555.900390625,8623.0,8545.150390625,8605.099609375,152000,-0.0037738408764703764,1.42418749609187e-05,1,Bear
2014-12-02,8524.7001953125,8560.2001953125,8504.650390625,8535.4501953125,137400,-0.0036532942570473856,1.3346558928575408e-05,1,Bear
2014-12-03,8537.650390625,8546.9501953125,8508.349609375,8528.7001953125,153200,0.0015179851960037325,2.30427905528649e-06,0,Bull
2014-12-04,8564.400390625,8626.9501953125,8526.400390625,8582.400390625,143500,0.003128282351293758,9.786150469416003e-06,0,Bull
2014-12-05,8538.2998046875,8588.349609375,8523.900390625,8584.25,143300,-0.003052220515157543,9.316050073148576e-06,1,Bear
2014-12-08,8438.25,8546.349609375,8432.25,8538.650390625,163800,-0.01178696074088962,0.00013893244350727317,2,HighVol
2014-12-09,8340.7001953125,8444.5,8330.5,8439.2998046875,146300,-0.01162777201814715,0.00013520508210600586,2,HighVol
2014-12-10,8355.650390625,8376.7998046875,8317.0,8318.0498046875,136700,0.001790834377979736,3.2070877693540684e-06,0,Bull
2014-12-11,8292.900390625,8348.2998046875,8272.400390625,8338.849609375,133900,-0.0075382293595515236,5.6824901877204574e-05,1,Bear
2014-12-12,8224.099609375,8321.900390625,8216.2998046875,8302.0,138100,-0.008330953463077941,6.940478560397033e-05,1,Bear
2014-12-15,8219.599609375,8242.400390625,8152.5,8160.75,137100,-0.0005473221143822177,2.995614968918214e-07,1,Bear
2014-12-16,8067.60009765625,8189.35009765625,8052.60009765625,8172.60009765625,197300,-0.01866544617437457,0.00034839888088847423,2,HighVol
2014-12-17,8029.7998046875,8082.0,7961.35009765625,8041.2001953125,216200,-0.004696455660811477,2.2056695773968168e-05,1,Bear
2014-12-18,8159.2998046875,8174.2998046875,8084.89990234375,8138.89990234375,162100,0.015998760320407486,0.00025596033178984506,2,HighVol
2014-12-19,8225.2001953125,8263.4501953125,8208.599609375,8230.4501953125,174800,0.008044279165652847,6.471042729495647e-05,0,Bull
2014-12-22,8324.0,8330.9501953125,8228.2001953125,8255.0,139200,0.01194027232053888,0.00014257010308862695,0,Bull
2014-12-23,8267.0,8364.75,8252.849609375,8324.599609375,132200,-0.006871222260849433,4.7213695357992795e-05,1,Bear
2014-12-24,8174.10009765625,8286.400390625,8155.25,8272.0498046875,221900,-0.0113010553438477,0.00012771385188470864,1,Bear
2014-12-26,8200.7001953125,8234.5498046875,8147.9501953125,8204.7998046875,75500,0.003248909370282162,1.0555412096307235e-05,0,Bull
